Time       S(t)           I(t)           R(t)
0.0000 1.00000000000000 0.10000000000000 0.00000000000000 
0.1000 0.99900000000000 0.09900000000000 0.00198000000000 
0.2000 0.99801099000000 0.09800901000000 0.00394018020000 
0.3000 0.99703284930901 0.09702697049099 0.00588071960982 
0.4000 0.99606545854053 0.09605382184965 0.00780179604681 
0.5000 0.99510869959947 0.09508950435371 0.00970358613389 
0.6000 0.99416245566924 0.09413395819687 0.01158626529782 
0.7000 0.99322661119881 0.09318712350336 0.01345000776789 
0.8000 0.99230105188997 0.09224894034214 0.01529498657473 
0.9000 0.99138566468460 0.09131934874067 0.01712137354955 
1.0000 0.99048033775210 0.09039828869835 0.01892933932352 
1.1000 0.98958496047688 0.08948570019961 0.02071905332751 
1.2000 0.98869942344592 0.08858152322657 0.02249068379204
1.3000 0.98782361843650 0.08768569777146 0.02424439774747
1.4000 0.98695743840393 0.08679816384861 0.02598036102444
1.5000 0.98610077746942 0.08591886150614 0.02769873825456
1.6000 0.98525353090812 0.08504773083732 0.02939969287131
1.7000 0.98441559513709 0.08418471199160 0.03108338711114
1.8000 0.98358686770352 0.08332974518534 0.03274998201485
1.9000 0.98276724727299 0.08248277071217 0.03439963742909
2.0000 0.98195663361778 0.08164372895313 0.03603251200815
2.1000 0.98115492760540 0.08081256038645 0.03764876321588
2.2000 0.98036203118704 0.07998920559708 0.03924854732782
2.3000 0.97957784738632 0.07917360528586 0.04083201943354
2.4000 0.97880228028796 0.07836570027850 0.04239933343911
2.5000 0.97803523502667 0.07756543153422 0.04395064206980
2.6000 0.97727661777607 0.07677274015414 0.04548609687288
2.7000 0.97652633573771 0.07598756738941 0.04700584822067
2.8000 0.97578429713027 0.07520985464906 0.04851004531365
2.9000 0.97505041117871 0.07443954350764 0.04999883618380
3.0000 0.97432458810366 0.07367657571254 0.05147236769805
3.1000 0.97360673911082 0.07292089319113 0.05293078556187
3.2000 0.97289677638049 0.07217243805764 0.05437423432303
3.3000 0.97219461305719 0.07143115261978 0.05580285737542
3.4000 0.97150016323938 0.07069697938520 0.05721679696313
3.5000 0.97081334196924 0.06996986106763 0.05861619418448
3.6000 0.97013406522264 0.06924974059288 0.06000118899634
3.7000 0.96946224989907 0.06853656110459 0.06137192021843
3.8000 0.96879781381179 0.06783026596979 0.06272852553782
3.9000 0.96814067567797 0.06713079878421 0.06407114151351
4.0000 0.96749075510903 0.06643810337746 0.06539990358106
4.1000 0.96684797260098 0.06575212381796 0.06671494605742
4.2000 0.96621224952491 0.06507280441768 0.06801640214577
4.3000 0.96558350811751 0.06440008973672 0.06930440394050
4.4000 0.96496167147180 0.06373392458769 0.07057908243226
4.5000 0.96434666352781 0.06307425403993 0.07184056751306
4.6000 0.96373840906343 0.06242102342351 0.07308898798153
4.7000 0.96313683368537 0.06177417833311 0.07432447154819
4.8000 0.96254186382013 0.06113366463168 0.07554714484082
4.9000 0.96195342670517 0.06049942845401 0.07675713340990
5.0000 0.96137145038001 0.05987141621008 0.07795456173410
5.1000 0.96079586367763 0.05924957458826 0.07913955322587
5.2000 0.96022659621574 0.05863385055839 0.08031223023704
5.3000 0.95966357838830 0.05802419137467 0.08147271406453
5.4000 0.95910674135702 0.05742054457845 0.08262112495610
5.5000 0.95855601704304 0.05682285800086 0.08375758211612
5.6000 0.95801133811862 0.05623107976526 0.08488220371142
5.7000 0.95747263799892 0.05564515828966 0.08599510687722
5.8000 0.95693985083393 0.05506504228886 0.08709640772299
5.9000 0.95641291150039 0.05449068077662 0.08818622133853
6.0000 0.95589175559387 0.05392202306760 0.08926466179988
6.1000 0.95537631942092 0.05335901877920 0.09033184217546
6.2000 0.95486653999123 0.05280161783331 0.09138787453213
6.3000 0.95436235500997 0.05224977045791 0.09243286994129
6.4000 0.95386370287014 0.05170342718858 0.09346693848506
6.5000 0.95337052264504 0.05116253886990 0.09449018926246
6.6000 0.95288275408082 0.05062705665672 0.09550273039559
6.7000 0.95240033758904 0.05009693201537 0.09650466903590
6.8000 0.95192321423941 0.04957211672470 0.09749611137039
6.9000 0.95145132575251 0.04905256287710 0.09847716262793
7.0000 0.95098461449270 0.04853822287936 0.09944792708552
7.1000 0.95052302346097 0.04802904945351 0.10040850807459
7.2000 0.95006649628797 0.04752499563744 0.10135900798734
7.3000 0.94961497722705 0.04702601478561 0.10229952828305
7.4000 0.94916841114746 0.04653206056949 0.10323016949444
7.5000 0.94872674352748 0.04604308697808 0.10415103123400
7.6000 0.94828992044777 0.04555904831823 0.10506221220037
7.7000 0.94785788858471 0.04507989921492 0.10596381018467
7.8000 0.94743059520384 0.04460559461149 0.10685592207690
7.9000 0.94700798815332 0.04413608976979 0.10773864387229
8.0000 0.94659001585754 0.04367134027017 0.10861207067769
8.1000 0.94617662731075 0.04321130201155 0.10947629671793
8.2000 0.94576777207076 0.04275593121131 0.11033141534215
8.3000 0.94536340025272 0.04230518440513 0.11117751903025
8.4000 0.94496346252294 0.04185901844680 0.11201469939919
8.5000 0.94456791009285 0.04141739050796 0.11284304720935
8.6000 0.94417669471291 0.04098025807774 0.11366265237090
8.7000 0.94378976866671 0.04054757896239 0.11447360395015
8.8000 0.94340708476502 0.04011931128483 0.11527599017585
8.9000 0.94302859634000 0.03969541348415 0.11606989844553
9.0000 0.94265425723941 0.03927584431506 0.11685541533183
9.1000 0.94228402182091 0.03886056284726 0.11763262658878
9.2000 0.94191784494641 0.03844952846482 0.11840161715807
9.3000 0.94155568197650 0.03804270086543 0.11916247117538
9.4000 0.94119748876492 0.03764004005969 0.11991527197658
9.5000 0.94084322165311 0.03724150637031 0.12066010210398
9.6000 0.94049283746478 0.03684706043123 0.12139704331261
9.7000 0.94014629350061 0.03645666318678 0.12212617657634
9.8000 0.93980354753293 0.03607027589073 0.12284758209416
9.9000 0.93946455780050 0.03568786010534 0.12356133929626
10.0000 0.93912928300337 0.03530937770036 0.12426752685027
10.1000 0.93879768229774 0.03493479085198 0.12496622266731
10.2000 0.93846971529091 0.03456406204178 0.12565750390815
10.3000 0.93814534203627 0.03419715405558 0.12634144698926
10.4000 0.93782452302839 0.03383402998235 0.12701812758891
10.5000 0.93750721919809 0.03347465321300 0.12768762065317
10.6000 0.93719339190762 0.03311898743922 0.12835000040195
10.7000 0.93688300294587 0.03276699665218 0.12900534033499
10.8000 0.93657601452366 0.03241864514135 0.12965371323782
10.9000 0.93627238926903 0.03207389749315 0.13029519118768
11.0000 0.93597209022264 0.03173271858968 0.13092984555948
11.1000 0.93567508083317 0.03139507360735 0.13155774703162
11.2000 0.93538132495282 0.03106092801556 0.13217896559194
11.3000 0.93509078683280 0.03073024757526 0.13279357054344
11.4000 0.93480343111896 0.03040299833760 0.13340163051019
11.5000 0.93451922284733 0.03007914664247 0.13400321344304
11.6000 0.93423812743989 0.02975865911707 0.13459838662538
11.7000 0.93396011070021 0.02944150267441 0.13518721667887
11.8000 0.93368513880924 0.02912764451189 0.13576976956911
11.9000 0.93341317832114 0.02881705210975 0.13634611061130
12.0000 0.93314419615915 0.02850969322955 0.13691630447590
12.1000 0.93287815961143 0.02820553591267 0.13748041519415
12.2000 0.93261503632710 0.02790454847875 0.13803850616372
12.3000 0.93235479431217 0.02760669952411 0.13859064015421
12.4000 0.93209740192561 0.02731195792019 0.13913687931261
12.5000 0.93184282787542 0.02702029281197 0.13967728516885
12.6000 0.93159104121478 0.02673167361637 0.14021191864118
12.7000 0.93134201133820 0.02644607002062 0.14074084004159
12.8000 0.93109570797775 0.02616345198066 0.14126410908120
12.9000 0.93085210119930 0.02588378971950 0.14178178487559
13.0000 0.93061116139883 0.02560705372558 0.14229392595010
13.1000 0.93037285929875 0.02533321475115 0.14280059024513
13.2000 0.93013716594432 0.02506224381056 0.14330183512134
13.3000 0.92990405270002 0.02479411217865 0.14379771736491
13.4000 0.92967349124604 0.02452879138905 0.14428829319269
13.5000 0.92944545357477 0.02426625323254 0.14477361825734
13.6000 0.92921991198735 0.02400646975531 0.14525374765245
13.7000 0.92899683909021 0.02374941325734 0.14572873591760
13.8000 0.92877620779175 0.02349505629065 0.14619863704341
13.9000 0.92855799129892 0.02324337165767 0.14666350447656
14.0000 0.92834216311394 0.02299433240950 0.14712339112475
14.1000 0.92812869703106 0.02274791184419 0.14757834936164
14.2000 0.92791756713326 0.02250408350511 0.14802843103174
14.3000 0.92770874778909 0.02226282117917 0.14847368745532
14.4000 0.92750221364951 0.02202409889517 0.14891416943323
14.5000 0.92729793964472 0.02178789092206 0.14934992725167
14.6000 0.92709590098110 0.02155417176723 0.14978101068701
14.7000 0.92689607313816 0.02132291617483 0.15020746901051
14.8000 0.92669843186546 0.02109409912404 0.15062935099299
